dist_lgd,n_months,n_raw_surges,n_raw_dips,sign_flip_rate,surge_artefact_rate,dip_artefact_rate,surge_artefact_among_surges,dip_artefact_among_dips,method,n_complete,med_total
573,52,13,9,0.25,0.11538461538461539,0.038461538461538464,0.46153846153846156,0.2222222222222222,STL,52,292
574,52,14,16,0.3076923076923077,0.15384615384615385,0.17307692307692307,0.5714285714285714,0.5625,STL,52,138.5
575,52,10,11,0.34615384615384615,0.07692307692307693,0.1346153846153846,0.4,0.6363636363636364,STL,52,111
576,52,8,5,0.4230769230769231,0.07692307692307693,0.038461538461538464,0.5,0.4,STL,52,122.5
577,52,13,13,0.2692307692307692,0.1346153846153846,0.11538461538461539,0.5384615384615384,0.46153846153846156,STL,52,119.5
578,52,11,10,0.23076923076923078,0.1346153846153846,0.11538461538461539,0.6363636363636364,0.6,STL,52,513.5
579,52,15,13,0.21153846153846154,0.1346153846153846,0.09615384615384616,0.4666666666666667,0.38461538461538464,STL,52,110
580,52,7,6,0.36538461538461536,0.07692307692307693,0.07692307692307693,0.5714285714285714,0.6666666666666666,STL,52,145
581,52,20,18,0.2692307692307692,0.11538461538461539,0.11538461538461539,0.3,0.3333333333333333,STL,52,71
582,52,17,15,0.38461538461538464,0.21153846153846154,0.11538461538461539,0.6470588235294118,0.4,STL,52,142.5
583,52,17,13,0.25,0.19230769230769232,0.09615384615384616,0.5882352941176471,0.38461538461538464,STL,52,128.5
584,52,8,8,0.36538461538461536,0.07692307692307693,0.057692307692307696,0.5,0.375,STL,52,361.5
585,52,10,12,0.38461538461538464,0.11538461538461539,0.07692307692307693,0.6,0.3333333333333333,STL,52,137
586,52,11,10,0.3269230769230769,0.11538461538461539,0.11538461538461539,0.5454545454545454,0.6,STL,52,260
587,52,20,18,0.23076923076923078,0.09615384615384616,0.057692307692307696,0.25,0.16666666666666666,STL,52,17
588,52,13,16,0.3076923076923077,0.11538461538461539,0.15384615384615385,0.46153846153846156,0.5,STL,52,168
589,52,11,11,0.23076923076923078,0.1346153846153846,0.07692307692307693,0.6363636363636364,0.36363636363636365,STL,52,179.5
590,52,14,15,0.21153846153846154,0.07692307692307693,0.07692307692307693,0.2857142857142857,0.26666666666666666,STL,52,108.5
591,52,12,10,0.28846153846153844,0.15384615384615385,0.09615384615384616,0.6666666666666666,0.5,STL,52,301
